,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,RoomDetailLink,マンション名,住所,最寄り駅,築年数,建物高さ,SearchURL
0,"
 
","




","
											2階","

5万円
3000円

","

5万円
-

","

1K
16.52m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000064346091/?bc=100342702450,メゾン松原,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩1分 --- 西武新宿線/都立家政駅 歩9分 --- ＪＲ中央線/阿佐ケ谷駅 歩25分,築62年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
1,"
 
","




","
											3階","

12万円
5000円

","

12万円
12万円

","

2DK
47.75m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000089122732/?bc=100370433047,白鷺1丁目マンション,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩7分 --- ＪＲ中央線/阿佐ケ谷駅 歩23分 --- ,築54年,4階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
2,"
 
","




","
											2階","

3.8万円
2000円

","

3.8万円
-

","

ワンルーム
15.18m2

","

パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000088724948/?bc=100277736279,ホサカ白鷺荘,東京都中野区白鷺３,西武新宿線/鷺ノ宮駅 歩8分 --- 西武新宿線/下井草駅 歩9分 --- ＪＲ総武線/阿佐ケ谷駅 歩29分,築51年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
3,"
 
","




","
											2階","

4万円
3000円

","

4万円
4万円

","

ワンルーム
15.14m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000088724948/?bc=100277736279,ホサカ白鷺荘,東京都中野区白鷺３,西武新宿線/鷺ノ宮駅 歩8分 --- 西武新宿線/下井草駅 歩9分 --- ＪＲ総武線/阿佐ケ谷駅 歩29分,築51年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
4,"
 
","




","
											2階","

5.1万円
2000円

","

5.1万円
-

","

ワンルーム
15.18m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000088724948/?bc=100277736279,ホサカ白鷺荘,東京都中野区白鷺３,西武新宿線/鷺ノ宮駅 歩8分 --- 西武新宿線/下井草駅 歩9分 --- ＪＲ総武線/阿佐ケ谷駅 歩29分,築51年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
5,"
 
","




","
											3階","

4.9万円
3000円

","

-
-

","

1K
17.35m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000090045717/?bc=100377132072,Gメゾン鷺宮,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩5分 --- 西武新宿線/都立家政駅 歩12分 --- ＪＲ中央線/阿佐ケ谷駅 歩24分,築54年,4階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
6,"
 
","




","
											3階","

4.9万円
3000円

","

-
-

","

1K
17.35m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000090054839/?bc=100377236373,西武新宿線 鷺ノ宮駅 4階建 築54年,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩5分 --- ＪＲ中央線/阿佐ケ谷駅 バス5分 (バス停)白鷺二丁目 歩1分 --- ＪＲ総武線/高円寺駅 歩29分,築54年,4階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
7,"
 
","




","
											1階","

7.7万円
3000円

","

7.7万円
-

","

1DK
30.05m2

","

動画

","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000085902442/?bc=100357498033,白鷺ハイツ,東京都中野区白鷺２,西武新宿線/鷺ノ宮駅 歩5分 --- 西武新宿線/都立家政駅 歩11分 --- ＪＲ中央線/阿佐ケ谷駅 歩24分,築53年,3階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
8,"
 
","




","
											3階","

6.7万円
-

","

6.7万円
-

","

1K
30m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000089157181/?bc=100370629019,カーサ中野,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩5分 --- ＪＲ中央線/阿佐ケ谷駅 歩18分 --- ＪＲ総武線/阿佐ケ谷駅 歩18分,築47年,地下1地上4階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
9,"
 
","




","
											2階","

5.6万円
-

","

5.6万円
-

","

1K
21m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000073875274/?bc=100369506138,西武新宿線 鷺ノ宮駅 2階建 築46年,東京都中野区白鷺１,西武新宿線/鷺ノ宮駅 歩5分 --- ＪＲ中央線/阿佐ケ谷駅 バス6分 (バス停)白鷺二丁目 歩3分 --- 西武池袋線/中村橋駅 歩25分,築46年,2階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
10,"
 
","




","
											3階","

5.8万円
-

","

5.8万円
-

","

1K
17.05m2

","


","



追加

追加

","
詳細を見る
												お問い合わせ
													(無料)

",Exsiting,https://suumo.jp/chintai/jnc_000089866047/?bc=100375670634,西武新宿線 下井草駅 3階建 築45年,東京都中野区白鷺３,西武新宿線/下井草駅 歩6分 --- ＪＲ中央線/阿佐ケ谷駅 バス11分 (バス停)下井草郵便局（バス） 歩6分 --- 西武新宿線/鷺ノ宮駅 歩14分,築45年,3階建,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13114&oz=13114007&cb=0.0&ct=9999999&mb=0&mt=9999999&et=9999999&cn=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&sngz=&po1=25&pc=50&page=1
